constructorId,constructor_name,year,total_points,races_entered,points_efficiency,podium_rate,win_rate,pole_count,pole_to_win_rate,dnf_rate,avg_grid,avg_delta,points_volatility,avg_pit_ms,avg_stop_count
16,BAR,2003,26.0,32.0,0.8125,0.0,0.0,0.0,0.0,0.4375,11.8125,3.111111111111111,1.4687607240514464,33864.99691358025,1.962962962962963
16,BAR,2004,119.0,36.0,3.3056,0.3056,0.0,1.0,0.0,0.25,6.861111111111111,1.1851851851851851,2.8866138783252056,25007.638020833336,2.5
16,BAR,2005,38.0,34.0,1.1176,0.0588,0.0,1.0,0.0,0.3824,8.5,0.0,1.9503644707150125,57522.11111111111,2.033333333333333
160,Wetteroth,1950,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,,,,
161,Adams,1950,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,,0.0,,
162,Snowberger,1950,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,,,,
163,Milano,1950,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,,,,
164,HRT,2010,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.3947,22.657894736842103,5.173913043478261,0.0,27954.4375,1.4375
164,HRT,2011,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.2895,22.52777777777778,3.0,0.0,40794.44460784313,2.411764705882353
164,HRT,2012,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.325,22.473684210526315,2.814814814814815,0.0,25081.83838383838,2.060606060606061
166,Virgin,2010,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.4474,21.13157894736842,3.523809523809524,0.0,46279.9494047619,1.5714285714285714
166,Virgin,2011,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.2105,21.31578947368421,3.2666666666666666,0.0,24216.514215686275,2.264705882352941
167,Cooper-Maserati,1959,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6667,14.833333333333334,5.5,0.0,,
167,Cooper-Maserati,1960,3.0,21.0,0.1429,0.0,0.0,0.0,0.0,0.7619,16.11111111111111,5.0,0.6546536707079772,,
167,Cooper-Maserati,1961,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.5833,21.545454545454547,12.2,0.0,,
167,Cooper-Maserati,1963,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,19.0,7.0,0.0,,
167,Cooper-Maserati,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
167,Cooper-Maserati,1966,49.0,40.0,1.225,0.15,0.025,1.0,1.0,0.625,9.384615384615383,3.4,2.2473631272317847,,
167,Cooper-Maserati,1967,31.0,42.0,0.7381,0.0238,0.0238,0.0,0.0,0.5238,11.88095238095238,6.3,1.6388503378078394,,
167,Cooper-Maserati,1968,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6667,18.666666666666668,9.0,0.0,,
167,Cooper-Maserati,1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,,,
168,Cooper-OSCA,1959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,,,,
169,Cooper-Borgward,1959,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333,16.333333333333332,5.5,0.0,,
17,Jordan,1991,13.0,32.0,0.4062,0.0,0.0,0.0,0.0,0.5,13.806451612903226,7.875,0.8747119341485718,,
17,Jordan,1992,1.0,32.0,0.0312,0.0,0.0,0.0,0.0,0.7188,19.892857142857142,9.11111111111111,0.1767766952966369,,
17,Jordan,1993,3.0,32.0,0.0938,0.0,0.0,0.0,0.0,0.5938,17.53125,6.769230769230769,0.3901509219974802,,
17,Jordan,1994,28.0,32.0,0.875,0.0312,0.0,1.0,0.0,0.5938,9.741935483870968,4.307692307692308,1.3854078239672525,32126.14912280701,1.7894736842105263
17,Jordan,1995,21.0,34.0,0.6176,0.0588,0.0,0.0,0.0,0.5294,8.558823529411764,1.5625,1.392941206580912,33773.469135802465,2.074074074074074
17,Jordan,1996,22.0,32.0,0.6875,0.0,0.0,0.0,0.0,0.4688,9.59375,2.764705882352941,1.029797975802896,46149.66666666666,1.8214285714285712
17,Jordan,1997,33.0,34.0,0.9706,0.0882,0.0,0.0,0.0,0.4118,8.441176470588236,1.85,1.5664144371616049,30338.02777777778,1.8333333333333333
17,Jordan,1998,34.0,32.0,1.0625,0.0938,0.0312,0.0,0.0,0.4062,8.84375,2.789473684210526,2.198789989825049,32136.141975308645,1.8888888888888888
17,Jordan,1999,61.0,32.0,1.9062,0.1875,0.0625,1.0,0.0,0.4375,7.53125,1.5555555555555556,2.7162518648955194,28570.3,1.4
17,Jordan,2000,17.0,34.0,0.5,0.0588,0.0,0.0,0.0,0.5294,7.705882352941177,0.6875,1.0801234497346437,31676.86231884058,1.7826086956521738
17,Jordan,2001,19.0,34.0,0.5588,0.0,0.0,0.0,0.0,0.5,8.382352941176471,1.9411764705882355,1.0207298776199087,32813.38,1.64
17,Jordan,2002,9.0,34.0,0.2647,0.0,0.0,0.0,0.0,0.4706,13.333333333333334,4.0,0.6655516522273318,43785.03703703704,1.5925925925925926
17,Jordan,2003,13.0,32.0,0.4062,0.0312,0.0312,0.0,0.0,0.5312,15.5625,4.6,1.7935255423237613,34502.68518518518,1.962962962962963
17,Jordan,2004,5.0,36.0,0.1389,0.0,0.0,0.0,0.0,0.4167,16.36111111111111,3.238095238095238,0.4871361075732194,28597.264583333337,2.6875
17,Jordan,2005,12.0,38.0,0.3158,0.0263,0.0,0.0,0.0,0.1579,16.92105263157895,4.125,1.2542956063043156,26913.81388888889,2.4722222222222223
170,Cooper-Climax,1959,97.5,49.0,1.9898,0.2653,0.102,5.0,0.6,0.4898,7.170731707317073,2.8,2.9056156044487933,,
170,Cooper-Climax,1960,102.0,55.0,1.8545,0.2727,0.1091,4.0,0.75,0.4,9.81132075471698,4.545454545454546,2.8311637563885657,,
170,Cooper-Climax,1961,24.0,52.0,0.4615,0.0192,0.0,1.0,0.0,0.5192,13.272727272727272,5.4,0.9794263719645024,,
170,Cooper-Climax,1962,45.0,29.0,1.5517,0.2414,0.0345,0.0,0.0,0.3448,10.925925925925926,4.473684210526316,2.428788747158781,,
170,Cooper-Climax,1963,32.0,34.0,0.9412,0.1176,0.0,0.0,0.0,0.5294,9.46875,4.4375,1.7222461808081844,,
170,Cooper-Climax,1964,16.0,23.0,0.6957,0.087,0.0,0.0,0.0,0.6087,11.0,3.2222222222222223,1.7434235548768997,,
170,Cooper-Climax,1965,14.0,23.0,0.6087,0.0435,0.0,0.0,0.0,0.6087,11.238095238095235,3.4444444444444446,1.1575495447783657,,
170,Cooper-Climax,1967,6.0,2.0,3.0,0.5,0.0,0.0,0.0,0.5,5.0,3.0,4.242640687119285,,
170,Cooper-Climax,1968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,,,,
171,Cooper-Castellotti,1960,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.5,15.2,6.333333333333333,1.224744871391589,,
172,Lotus-Climax,1961,44.0,69.0,0.6377,0.0725,0.0435,1.0,1.0,0.6232,15.690909090909091,6.038461538461538,2.007127113509972,,
172,Lotus-Climax,1962,42.0,65.0,0.6462,0.0615,0.0462,6.0,0.3333,0.6769,10.4,5.095238095238095,2.057233953263833,,
172,Lotus-Climax,1963,74.0,36.0,2.0556,0.25,0.1944,7.0,0.7143,0.5833,8.703703703703704,3.1333333333333333,3.6562622947832897,,
172,Lotus-Climax,1964,49.0,26.0,1.8846,0.1923,0.1154,7.0,0.1429,0.5,6.615384615384615,4.153846153846154,2.9573897014350083,,
172,Lotus-Climax,1965,64.0,28.0,2.2857,0.25,0.2143,6.0,0.6667,0.5714,7.291666666666667,1.25,3.7203857113570686,,
172,Lotus-Climax,1966,8.0,8.0,1.0,0.125,0.0,2.0,0.0,0.5,9.0,6.25,1.6035674514745464,,
172,Lotus-Climax,1967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,,,
173,Lotus-Maserati,1961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,,,,
173,Lotus-Maserati,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
174,De Tomaso-Osca,1961,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,,0.0,,
174,De Tomaso-Osca,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
175,De Tomaso-Alfa Romeo,1961,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,,0.0,,
175,De Tomaso-Alfa Romeo,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
176,Lotus-BRM,1962,1.0,14.0,0.0714,0.0,0.0,0.0,0.0,0.8571,12.0,-2.5,0.2672612419124244,,
176,Lotus-BRM,1963,4.0,34.0,0.1176,0.0,0.0,0.0,0.0,0.6765,14.5,7.727272727272728,0.4093384079998047,,
176,Lotus-BRM,1964,3.0,25.0,0.12,0.0,0.0,0.0,0.0,0.8,14.61904761904762,6.2,0.439696865275764,,
176,Lotus-BRM,1965,2.0,20.0,0.1,0.0,0.0,0.0,0.0,0.6,14.68421052631579,5.75,0.3077935056255462,,
176,Lotus-BRM,1966,13.0,20.0,0.65,0.05,0.05,0.0,0.0,0.75,11.157894736842104,7.2,2.058998223459779,,
176,Lotus-BRM,1967,6.0,8.0,0.75,0.125,0.0,0.0,0.0,0.625,11.625,6.0,2.1213203435596424,,
177,Lotus-Borgward,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
177,Lotus-Borgward,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
178,Cooper-Alfa Romeo,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,,,,
179,De Tomaso-Ferrari,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
18,Minardi,1985,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.8667,23.8,13.5,0.0,,
18,Minardi,1986,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.9355,20.73333333333333,12.0,0.0,,
18,Minardi,1987,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.9062,17.967741935483872,7.0,0.0,,
18,Minardi,1988,1.0,32.0,0.0312,0.0,0.0,0.0,0.0,0.5938,19.2,7.538461538461538,0.1767766952966369,,
18,Minardi,1989,6.0,32.0,0.1875,0.0,0.0,0.0,0.0,0.6875,15.821428571428571,5.4,0.5350610456580119,,
18,Minardi,1990,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.6562,15.72,3.1818181818181817,0.0,,
